New_ID,iMab100nM_6.5_5,imseeker
V2_IMOTIF_10235,0.87,0.0
V2_IMOTIF_10236,1.95,0.0
V2_IMOTIF_10237,14.6,0.298
V2_IMOTIF_10238,3.64,0.405
V2_IMOTIF_10239,0.57,0.4
V2_IMOTIF_1024,6.5,0.0
V2_IMOTIF_10240,4.45,0.0
V2_IMOTIF_10241,-0.36,0.0
V2_IMOTIF_10242,13.88,0.304
V2_IMOTIF_10243,18.72,0.295
V2_IMOTIF_10244,25.39,0.314
V2_IMOTIF_10245,0.81,0.0
V2_IMOTIF_10246,-0.39,0.0
V2_IMOTIF_10247,4.52,0.0
V2_IMOTIF_10248,0.1,0.0
V2_IMOTIF_10249,-0.24,0.0
V2_IMOTIF_1025,12.56,0.0
V2_IMOTIF_10250,-0.25,0.0
V2_IMOTIF_10251,7.54,0.0
V2_IMOTIF_10252,-0.11,0.0
V2_IMOTIF_10253,13.53,0.294
V2_IMOTIF_10254,22.39,0.298
V2_IMOTIF_10255,7.87,0.0
V2_IMOTIF_10256,23.03,0.17
V2_IMOTIF_10257,13.77,0.386
V2_IMOTIF_10258,22.27,0.313
V2_IMOTIF_10259,42.98,0.316
V2_IMOTIF_1026,26.55,0.285
V2_IMOTIF_10260,6.02,0.0
V2_IMOTIF_10261,10.97,0.163
V2_IMOTIF_10262,0.96,0.0
V2_IMOTIF_10263,4.36,0.0
V2_IMOTIF_10264,3.87,0.0
V2_IMOTIF_10265,3.6,0.242
V2_IMOTIF_10266,17.12,0.225
V2_IMOTIF_10267,-0.21,0.0
V2_IMOTIF_10268,7.75,0.307
V2_IMOTIF_10269,-0.29,0.0
V2_IMOTIF_1027,32.03,0.267
V2_IMOTIF_10270,6.97,0.0
V2_IMOTIF_10271,-0.35,0.0
V2_IMOTIF_10272,-0.03,0.0
V2_IMOTIF_10273,8.79,0.0
V2_IMOTIF_10274,-0.44,0.0
V2_IMOTIF_10275,-0.43,0.0
V2_IMOTIF_10276,-0.42,0.371
V2_IMOTIF_10277,-0.36,0.0
V2_IMOTIF_10278,12.22,0.0
V2_IMOTIF_10279,7.89,0.0
V2_IMOTIF_1028,17.01,0.289
V2_IMOTIF_10280,7.8,0.0
V2_IMOTIF_10281,1.62,0.0
V2_IMOTIF_10282,-0.4,0.47
V2_IMOTIF_10283,19.78,0.31
V2_IMOTIF_10284,19.02,0.428
V2_IMOTIF_10285,0.17,0.0
V2_IMOTIF_10286,-0.41,0.45
V2_IMOTIF_10287,17.0,0.0
V2_IMOTIF_10288,1.56,0.0
V2_IMOTIF_10289,7.12,0.0
V2_IMOTIF_1029,24.9,0.242
V2_IMOTIF_10290,0.41,0.0
V2_IMOTIF_10291,33.97,0.309
V2_IMOTIF_10292,22.6,0.0
V2_IMOTIF_10293,-0.43,0.515
V2_IMOTIF_10294,17.17,0.48
V2_IMOTIF_10295,-0.41,0.0
